Month	Temp	Zp total	Copepods	Appendicularia	Cladocera	Doliolida	Meroplankton	Chaetognatha	Siphonophora	Pteropoda	Ostracoda	
	Mean	ind.	SD	ind.	SD	ind.	SD	ind.	SD	ind.	SD	ind.	SD	ind.	SD	ind.	SD	ind.	SD	ind.	SD
Jan	14.8049	806	135	486	123	175	54	10	10	47	38	17	13	16	12	14	7	6	6	17	10
Feb	14.1126	958	301	662	271	151	84	20	18	37	41	15	9	15	15	26	22	2	3	11	10
Mar	14.1915	1168	307	723	318	184	64	40	21	56	58	16	10	19	15	52	28	1	1	10	6
Apr	15.4093	1072	457	606	374	192	90	94	44	34	25	33	23	22	17	47	23	2	2	5	4
May	17,9667	1254	249	718	172	180	66	141	63	46	40	54	36	15	8	36	14	3	3	5	4
Jun	21,6733	1215	466	587	215	171	72	198	248	84	88	72	55	24	16	41	59	11	22	3	2
Jul	24,958	1136	441	491	199	154	83	262	293	91	99	64	42	31	18	20	12	7	6	3	2
Aug	26,6576	903	224	461	136	115	32	171	150	49	76	61	38	20	12	11	6	6	4	6	6
Sep	25,8626	853	212	466	119	173	66	99	60	22	24	30	15	12	5	21	11	10	9	7	5
Oct	23,2371	780	194	435	118	144	55	70	44	44	36	22	13	20	8	24	7	8	4	9	4
Nov	20,0049	621	193	347	97	148	117	17	10	26	16	15	10	24	9	15	7	7	6	15	7
Dec	16,7536	666	258	430	178	111	45	15	22	37	45	11	8	18	17	16	10	6	6	14	11
